download_url,hypeness,pct_muted,pog_tag,sad_tag,timestamp,vod_id,funny_tag,game,length,stream_tag,url,highlights_voddatum,liked,done,disliked
https://hypelab-highlight-downloads.s3.amazonaws.com/Rizzo/734658912/2919.mp4,6.77,0.0,1.0,-0.1,2919,734658912,-0.2,Tony Hawk's Pro Skater 1+2,78,0.01,https://www.twitch.tv/videos/734658912?t=0h48m39s,{'highlights_channel': {'twitch_name': 'Rizzo'}},True,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/Rizzo/734658912/3838.mp4,7.0,0.0,-0.03,0.68,3838,734658912,0.09,Tony Hawk's Pro Skater 1+2,119,-0.07,https://www.twitch.tv/videos/734658912?t=1h03m58s,{'highlights_channel': {'twitch_name': 'Rizzo'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/Rizzo/734658912/5229.mp4,5.36,0.0,0.19,-0.05,5229,734658912,0.56,Tony Hawk's Pro Skater 1+2,75,-0.12,https://www.twitch.tv/videos/734658912?t=1h27m09s,{'highlights_channel': {'twitch_name': 'Rizzo'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chap/734659884/1933.mp4,5.63,0.0,-0.06,0.06,1933,734659884,0.79,Fortnite,75,0.03,https://www.twitch.tv/videos/734659884?t=0h32m13s,{'highlights_channel': {'twitch_name': 'chap'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chap/734659884/5839.mp4,6.36,0.0,0.11,-0.08,5839,734659884,0.32,Fortnite,126,-0.06,https://www.twitch.tv/videos/734659884?t=1h37m19s,{'highlights_channel': {'twitch_name': 'chap'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chap/734659884/6794.mp4,9.43,0.0,-0.11,0.2,6794,734659884,0.75,Fortnite,82,-0.13,https://www.twitch.tv/videos/734659884?t=1h53m14s,{'highlights_channel': {'twitch_name': 'chap'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chap/734659884/8630.mp4,8.72,0.0,0.17,-0.01,8630,734659884,0.93,Fortnite,90,-0.05,https://www.twitch.tv/videos/734659884?t=2h23m50s,{'highlights_channel': {'twitch_name': 'chap'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chap/734659884/16310.mp4,5.51,0.0,-0.15,-0.02,16310,734659884,0.66,Fortnite,76,-0.13,https://www.twitch.tv/videos/734659884?t=4h31m50s,{'highlights_channel': {'twitch_name': 'chap'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chessbrah/734712546/8910.mp4,6.95,0.0,0.33,0.14,8910,734712546,-0.26,Chess,78,-0.31,https://www.twitch.tv/videos/734712546?t=2h28m30s,{'highlights_channel': {'twitch_name': 'chessbrah'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chessbrah/734712546/17252.mp4,5.1,0.0,0.13,0.14,17252,734712546,0.46,Chess,83,-0.14,https://www.twitch.tv/videos/734712546?t=4h47m32s,{'highlights_channel': {'twitch_name': 'chessbrah'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chessbrah/734712546/27653.mp4,7.78,0.0,0.93,-0.17,27653,734712546,-0.18,Chess,91,-0.03,https://www.twitch.tv/videos/734712546?t=7h40m53s,{'highlights_channel': {'twitch_name': 'chessbrah'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chessbrah/734712546/30566.mp4,8.34,0.0,-0.14,-0.06,30566,734712546,-0.12,Chess,86,0.1,https://www.twitch.tv/videos/734712546?t=8h29m26s,{'highlights_channel': {'twitch_name': 'chessbrah'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/chessbrah/734712546/32906.mp4,7.93,0.00625,0.66,-0.17,32906,734712546,-0.26,Chess,161,-0.31,https://www.twitch.tv/videos/734712546?t=9h08m26s,{'highlights_channel': {'twitch_name': 'chessbrah'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/nl_kripp/734723250/5359.mp4,6.95,0.0,-0.18,-0.33,5359,734723250,0.83,Hearthstone,78,-0.07,https://www.twitch.tv/videos/734723250?t=1h29m19s,{'highlights_channel': {'twitch_name': 'nl_kripp'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/nl_kripp/734723250/7109.mp4,6.88,0.0,-0.13,-0.1,7109,734723250,0.33,Hearthstone,110,-0.08,https://www.twitch.tv/videos/734723250?t=1h58m29s,{'highlights_channel': {'twitch_name': 'nl_kripp'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/tommey/734813973/2088.mp4,7.0,0.0212765957446809,0.6,-0.18,2088,734813973,0.14,Call of Duty: Modern Warfare,94,-0.26,https://www.twitch.tv/videos/734813973?t=0h34m48s,{'highlights_channel': {'twitch_name': 'tommey'}},True,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/p4wnyhof/734863301/6843.mp4,9.17,0.0,1.49,-0.19,6843,734863301,0.18,Call of Duty: Modern Warfare,84,-0.06,https://www.twitch.tv/videos/734863301?t=1h54m03s,{'highlights_channel': {'twitch_name': 'p4wnyhof'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/p4wnyhof/734863301/10383.mp4,14.57,0.0,1.55,0.01,10383,734863301,-0.12,Call of Duty: Modern Warfare,87,-0.11,https://www.twitch.tv/videos/734863301?t=2h53m03s,{'highlights_channel': {'twitch_name': 'p4wnyhof'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/p4wnyhof/734863301/15021.mp4,13.11,0.0,1.87,-0.07,15021,734863301,-0.17,Call of Duty: Modern Warfare,83,-0.2,https://www.twitch.tv/videos/734863301?t=4h10m21s,{'highlights_channel': {'twitch_name': 'p4wnyhof'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/teepee/735037542/5538.mp4,13.32,0.0,0.07,-0.12,5538,735037542,-0.29,Call of Duty: Modern Warfare,164,-0.15,https://www.twitch.tv/videos/735037542?t=1h32m18s,{'highlights_channel': {'twitch_name': 'teepee'}},False,True,True
https://hypelab-highlight-downloads.s3.amazonaws.com/teepee/735037542/14536.mp4,7.77,0.0,-0.33,-0.07,14536,735037542,0.02,Call of Duty: Modern Warfare,124,-0.26,https://www.twitch.tv/videos/735037542?t=4h02m16s,{'highlights_channel': {'twitch_name': 'teepee'}},False,True,False
https://hypelab-highlight-downloads.s3.amazonaws.com/jzryoutube/735069020/1126.mp4,6.7,0.0,-0.08,-0.1,1126,735069020,1.09,Rocket League,75,-0.1,https://www.twitch.tv/videos/735069020?t=0h18m46s,{'highlights_channel': {'twitch_name': 'jzryoutube'}},True,False,False
https://hypelab-highlight-downloads.s3.amazonaws.com/jzryoutube/735069020/6557.mp4,6.7,0.0,0.73,0.45,6557,735069020,0.06,Rocket League,78,-0.1,https://www.twitch.tv/videos/735069020?t=1h49m17s,{'highlights_channel': {'twitch_name': 'jzryoutube'}},True,False,False
